球団 , 選手名 , 守備 , 生年月日 , 身長 , 体重
西武 , 西浦　直亨 , 内野手 , 1991/04/11 , 178 , 75
西武 , 川端　慎吾 , 内野手 , 1987/10/16 , 185 , 86
西武 , 中山　翔太 , 外野手 , 1996/09/22 , 185 , 95
西武 , 塩見　泰隆 , 外野手 , 1993/06/12 , 179 , 76
西武 , 荒木　貴裕 , 内野手 , 1987/07/26 , 180 , 84
西武 , 奥川　恭伸 , 投手 , 2001/04/16 , 184 , 82
西武 , 石山　泰稚 , 投手 , 1988/09/01 , 182 , 75
西武 , 中尾　輝 , 投手 , 1994/09/14 , 180 , 83
西武 , 高梨　裕稔 , 投手 , 1991/06/05 , 187 , 90
西武 , 大下　佑馬 , 投手 , 1992/07/06 , 179 , 83
西武 , 原　樹理 , 投手 , 1993/07/19 , 180 , 79
西武 , 清水　昇 , 投手 , 1996/10/15 , 180 , 84
西武 , 寺島　成輝 , 投手 , 1998/07/30 , 183 , 90
西武 , 石川　雅規 , 投手 , 1980/01/22 , 167 , 73
西武 , 近藤　一樹 , 投手 , 1983/07/08 , 183 , 80
西武 , 青木　宣親 , 外野手 , 1982/01/05 , 175 , 80
西武 , 星　知弥 , 投手 , 1994/04/15 , 183 , 78
西武 , イノーア , 投手 , 1993/05/26 , 188 , 93
西武 , 坂本　光士郎 , 投手 , 1994/09/09 , 179 , 75
西武 , 吉田　大喜 , 投手 , 1997/07/27 , 175 , 83
西武 , 小川　泰弘 , 投手 , 1990/05/16 , 171 , 80
西武 , 西田　明央 , 捕手 , 1992/04/28 , 178 , 83
西武 , 山崎　晃大朗 , 外野手 , 1993/08/11 , 173 , 68
西武 , 松本　直樹 , 捕手 , 1993/10/17 , 177 , 82
西武 , クック , 投手 , 1990/11/02 , 190 , 97
西武 , 山田　大樹 , 投手 , 1988/07/30 , 189 , 99
西武 , 杉山　晃基 , 投手 , 1997/06/25 , 182 , 84
西武 , 廣岡　大志 , 内野手 , 1997/04/09 , 183 , 81
西武 , マクガフ , 投手 , 1989/10/31 , 180 , 86
西武 , 梅野　雄吾 , 投手 , 1999/01/13 , 175 , 84
西武 , 宮本　丈 , 内野手 , 1995/04/03 , 182 , 78
西武 , 市川　悠太 , 投手 , 2001/03/29 , 184 , 75
西武 , 雄平 , 外野手 , 1984/06/25 , 174 , 83
西武 , 坂口　智隆 , 外野手 , 1984/07/07 , 181 , 82
西武 , スアレス , 投手 , 1989/10/08 , 190 , 106
西武 , 大西　広樹 , 投手 , 1997/11/08 , 175 , 84
西武 , 嶋　基宏 , 捕手 , 1984/12/13 , 179 , 84
西武 , 太田　賢吾 , 内野手 , 1997/01/19 , 186 , 85
西武 , 高橋　奎二 , 投手 , 1997/05/14 , 178 , 73
西武 , 金久保　優斗 , 投手 , 1999/11/04 , 183 , 74
西武 , 渡邉　大樹 , 外野手 , 1997/06/07 , 182 , 87
西武 , 上田　剛史 , 外野手 , 1988/10/02 , 180 , 73
西武 , 濱田　太貴 , 外野手 , 2000/09/04 , 177 , 81
西武 , 中村　悠平 , 捕手 , 1990/06/17 , 176 , 83
西武 , 五十嵐　亮太 , 投手 , 1979/05/28 , 178 , 95
西武 , 中澤　雅人 , 投手 , 1985/02/16 , 179 , 80
西武 , 村上　宗隆 , 内野手 , 2000/02/02 , 188 , 97
西武 , 鈴木　裕太 , 投手 , 2000/08/02 , 182 , 93
西武 , 古賀　優大 , 捕手 , 1998/08/07 , 177 , 74
西武 , 長岡　秀樹 , 内野手 , 2001/09/26 , 174 , 74
西武 , 大村　孟 , 捕手 , 1991/12/21 , 169 , 78
西武 , 武岡　龍世 , 内野手 , 2001/05/28 , 178 , 77
西武 , 久保　拓眞 , 投手 , 1996/07/27 , 175 , 75
西武 , 田川　賢吾 , 投手 , 1994/05/22 , 189 , 79
西武 , 井野　卓 , 捕手 , 1983/11/23 , 178 , 83
西武 , 風張　蓮 , 投手 , 1993/02/26 , 182 , 88
西武 , 田代　将太郎 , 外野手 , 1989/12/13 , 178 , 74
西武 , 吉田　大成 , 内野手 , 1995/03/07 , 175 , 80
西武 , 平井　諒 , 投手 , 1991/04/23 , 184 , 78
西武 , 山中　浩史 , 投手 , 1985/09/09 , 175 , 82
西武 , 今野　龍太 , 投手 , 1995/05/11 , 178 , 87
西武 , 長谷川　宙輝 , 投手 , 1998/08/23 , 175 , 80
西武 , 蔵本　治孝 , 投手 , 1995/05/16 , 185 , 95
西武 , 松本　友 , 内野手 , 1995/02/05 , 179 , 86
西武 , 内山　太嗣 , 捕手 , 1996/04/21 , 171 , 77
西武 , ジュリアス , 投手 , 1997/05/25 , 183 , 76
ソフトバンク , 選手名 , 守備 , 生年月日 , 身長 , 体重
ソフトバンク , 川瀬　晃 , 内野手 , 1997/09/15 , 175 , 64
ソフトバンク , 髙田　知季 , 内野手 , 1990/05/06 , 176 , 71
ソフトバンク , 内川　聖一 , 内野手 , 1982/08/04 , 185 , 93
ソフトバンク , Ｃ．スチュワート・ジュニア , 投手 , 1999/11/02 , 198 , 101
ソフトバンク , バレンティン , 外野手 , 1984/07/02 , 185 , 100
ソフトバンク , 松田　宣浩 , 内野手 , 1983/05/17 , 180 , 85
ソフトバンク , 今宮　健太 , 内野手 , 1991/07/15 , 172 , 76
ソフトバンク , 中村　晃 , 外野手 , 1989/11/05 , 176 , 83
ソフトバンク , 明石　健志 , 内野手 , 1986/01/09 , 175 , 67
ソフトバンク , 柳田　悠岐 , 外野手 , 1988/10/09 , 188 , 96
ソフトバンク , 大竹　耕太郎 , 投手 , 1995/06/29 , 184 , 79
ソフトバンク , 津森　宥紀 , 投手 , 1998/01/21 , 177 , 81
ソフトバンク , 髙谷　裕亮 , 捕手 , 1981/11/13 , 179 , 89
ソフトバンク , 二保　旭 , 投手 , 1990/05/18 , 182 , 74
ソフトバンク , 加治屋　蓮 , 投手 , 1991/11/25 , 185 , 89
ソフトバンク , 東浜　巨 , 投手 , 1990/06/20 , 183 , 78
ソフトバンク , 岩嵜　翔 , 投手 , 1989/10/21 , 190 , 88
ソフトバンク , 武田　翔太 , 投手 , 1993/04/03 , 186 , 90
ソフトバンク , 甲斐　拓也 , 捕手 , 1992/11/05 , 170 , 84
ソフトバンク , 甲斐野　央 , 投手 , 1996/11/16 , 187 , 88
ソフトバンク , 和田　毅 , 投手 , 1981/02/21 , 179 , 80
ソフトバンク , 西田　哲朗 , 内野手 , 1991/09/04 , 180 , 85
ソフトバンク , 周東　佑京 , 内野手 , 1996/02/10 , 179 , 66
ソフトバンク , 長谷川　勇也 , 外野手 , 1984/12/22 , 180 , 88
ソフトバンク , 田中　正義 , 投手 , 1994/07/19 , 187 , 93
ソフトバンク , 吉住　晴斗 , 投手 , 2000/03/12 , 185 , 80
ソフトバンク , グラシアル , 内野手 , 1985/10/14 , 187 , 95
ソフトバンク , 高橋　礼 , 投手 , 1995/11/02 , 188 , 84
ソフトバンク , 石川　柊太 , 投手 , 1991/12/27 , 185 , 86
ソフトバンク , 佐藤　直樹 , 外野手 , 1998/09/03 , 178 , 84
ソフトバンク , 栗原　陵矢 , 捕手 , 1996/07/04 , 179 , 75
ソフトバンク , 柳町　達 , 外野手 , 1997/04/20 , 180 , 75
ソフトバンク , 増田　珠 , 内野手 , 1999/05/21 , 179 , 85
ソフトバンク , 椎野　新 , 投手 , 1995/10/10 , 196 , 90
ソフトバンク , モイネロ , 投手 , 1995/12/08 , 178 , 69
ソフトバンク , 牧原　大成 , 内野手 , 1992/10/15 , 172 , 74
ソフトバンク , ムーア , 投手 , 1989/06/18 , 190 , 95
ソフトバンク , 森　唯斗 , 投手 , 1992/01/08 , 176 , 94
ソフトバンク , 尾形　崇斗 , 投手 , 1999/05/15 , 181 , 83
ソフトバンク , 杉山　一樹 , 投手 , 1997/12/07 , 193 , 95
ソフトバンク , 千賀　滉大 , 投手 , 1993/01/30 , 187 , 90
ソフトバンク , 松田　遼馬 , 投手 , 1994/02/08 , 183 , 85
ソフトバンク , バンデンハーク , 投手 , 1985/05/22 , 198 , 105
ソフトバンク , 谷川原　健太 , 捕手 , 1997/04/16 , 174 , 85
ソフトバンク , 髙橋　純平 , 投手 , 1997/05/08 , 183 , 85
ソフトバンク , 古谷　優人 , 投手 , 1999/02/19 , 175 , 76
ソフトバンク , 板東　湧梧 , 投手 , 1995/12/27 , 181 , 78
ソフトバンク , 上林　誠知 , 外野手 , 1995/08/01 , 185 , 91
ソフトバンク , リチャード , 内野手 , 1999/06/18 , 189 , 112
ソフトバンク , 泉　圭輔 , 投手 , 1997/03/02 , 187 , 74
ソフトバンク , デスパイネ , 外野手 , 1986/06/17 , 175 , 95
ソフトバンク , 野村　大樹 , 内野手 , 2000/09/10 , 170 , 80
ソフトバンク , 田浦　文丸 , 投手 , 1999/09/21 , 168 , 80
ソフトバンク , 嘉弥真　新也 , 投手 , 1989/11/23 , 172 , 70
ソフトバンク , サファテ , 投手 , 1981/04/09 , 193 , 102
ソフトバンク , 水谷　瞬 , 外野手 , 2001/03/09 , 193 , 87
ソフトバンク , 釜元　豪 , 外野手 , 1993/09/03 , 180 , 79
ソフトバンク , 奥村　政稔 , 投手 , 1992/08/14 , 176 , 76
ソフトバンク , 海野　隆司 , 捕手 , 1997/07/15 , 173 , 83
ソフトバンク , 川原　弘之 , 投手 , 1991/08/23 , 188 , 99
ソフトバンク , 真砂　勇介 , 外野手 , 1994/05/04 , 185 , 88
ソフトバンク , 九鬼　隆平 , 捕手 , 1998/09/05 , 179 , 78
ソフトバンク , 松本　裕樹 , 投手 , 1996/04/14 , 182 , 82
ソフトバンク , 笠谷　俊介 , 投手 , 1997/03/17 , 173 , 72
ソフトバンク , 三森　大貴 , 内野手 , 1999/02/21 , 185 , 70
ソフトバンク , 小林　珠維 , 内野手 , 2001/05/07 , 183 , 86
ソフトバンク , 川島　慶三 , 内野手 , 1983/10/05 , 173 , 74
ソフトバンク , 石塚　綜一郎 , 捕手 , 2001/06/07 , 181 , 85
ソフトバンク , 大関　友久 , 投手 , 1997/12/14 , 186 , 90
ソフトバンク , 小澤　怜史 , 投手 , 1998/03/09 , 182 , 83
ソフトバンク , 古澤　勝吾 , 内野手 , 1996/09/05 , 177 , 80
ソフトバンク , 大本　将吾 , 外野手 , 1998/04/22 , 186 , 103
ソフトバンク , 黒瀬　健太 , 内野手 , 1997/08/12 , 182 , 93
ソフトバンク , 伊藤　大将 , 内野手 , 2001/07/27 , 178 , 75
ソフトバンク , 野澤　佑斗 , 投手 , 1997/11/06 , 180 , 72
ソフトバンク , 勝連　大稀 , 内野手 , 2001/04/30 , 175 , 66
ソフトバンク , 舟越　秀虎 , 外野手 , 2001/08/23 , 182 , 71
ソフトバンク , 渡邉　陸 , 捕手 , 2000/09/24 , 186 , 87
ソフトバンク , 岡本　直也 , 投手 , 1996/10/30 , 181 , 78
ソフトバンク , 田城　飛翔 , 外野手 , 1999/03/19 , 179 , 66
ソフトバンク , 荒木　翔太 , 内野手 , 2001/04/05 , 184 , 85
ソフトバンク , 渡辺　健史 , 投手 , 1997/09/09 , 178 , 75
ソフトバンク , 重田　倫明 , 投手 , 1996/05/30 , 185 , 85
ソフトバンク , 日暮　矢麻人 , 外野手 , 1999/06/16 , 178 , 86
ソフトバンク , 渡邉　雄大 , 投手 , 1991/09/19 , 186 , 80
ソフトバンク , 清水　陸哉 , 外野手 , 1999/01/22 , 185 , 83
ソフトバンク , 中村　宜聖 , 外野手 , 2000/07/03 , 184 , 88
ソフトバンク , 村上　舜 , 投手 , 2001/11/01 , 174 , 68
ソフトバンク , 堀内　汰門 , 捕手 , 1996/09/16 , 175 , 76
楽天 , 選手名 , 守備 , 生年月日 , 身長 , 体重
楽天 , 小深田　大翔 , 内野手 , 1995/09/28 , 168 , 69
楽天 , 松井　裕樹 , 投手 , 1995/10/30 , 174 , 74
楽天 , 太田　光 , 捕手 , 1996/10/14 , 178 , 76
楽天 , 浅村　栄斗 , 内野手 , 1990/11/12 , 182 , 90
楽天 , オコエ　瑠偉 , 外野手 , 1997/07/21 , 185 , 90
楽天 , 茂木　栄五郎 , 内野手 , 1994/02/14 , 171 , 75
楽天 , 藤田　一也 , 内野手 , 1982/07/03 , 175 , 75
楽天 , 鈴木　大地 , 内野手 , 1989/08/18 , 175 , 79
楽天 , 辰己　涼介 , 外野手 , 1996/12/27 , 180 , 74
楽天 , 吉持　亮汰 , 内野手 , 1993/11/04 , 175 , 68
楽天 , 岸　孝之 , 投手 , 1984/12/04 , 180 , 77
楽天 , 近藤　弘樹 , 投手 , 1995/06/27 , 186 , 96
楽天 , 森原　康平 , 投手 , 1991/12/26 , 185 , 88
楽天 , 則本　昂大 , 投手 , 1990/12/17 , 178 , 82
楽天 , Ｊ．Ｔ．シャギワ , 投手 , 1990/12/03 , 190 , 90
楽天 , 涌井　秀章 , 投手 , 1986/06/21 , 185 , 85
楽天 , 森　雄大 , 投手 , 1994/08/19 , 184 , 74
楽天 , 王　彦程 , 投手 , 2001/02/14 , 180 , 82
楽天 , 塩見　貴洋 , 投手 , 1988/09/06 , 182 , 77
楽天 , 藤平　尚真 , 投手 , 1998/09/21 , 185 , 85
楽天 , 安樂　智大 , 投手 , 1996/11/04 , 186 , 87
楽天 , 釜田　佳直 , 投手 , 1993/10/26 , 177 , 77
楽天 , 牧田　和久 , 投手 , 1984/11/10 , 177 , 85
楽天 , 弓削　隼人 , 投手 , 1994/04/06 , 193 , 105
楽天 , 黒川　史陽 , 内野手 , 2001/04/17 , 182 , 86
楽天 , 田中　和基 , 外野手 , 1994/08/08 , 181 , 75
楽天 , 渡辺　直人 , 内野手 , 1980/10/15 , 173 , 73
楽天 , 岡島　豪郎 , 捕手 , 1989/09/07 , 176 , 82
楽天 , 酒居　知史 , 投手 , 1993/01/02 , 178 , 80
楽天 , 山下　斐紹 , 捕手 , 1992/11/16 , 179 , 93
楽天 , 福井　優也 , 投手 , 1988/02/08 , 178 , 85
楽天 , ブセニッツ , 投手 , 1990/08/22 , 185 , 81
楽天 , 銀次 , 内野手 , 1988/02/24 , 174 , 78
楽天 , 山﨑　幹史 , 内野手 , 1995/12/29 , 173 , 74
楽天 , 島内　宏明 , 外野手 , 1990/02/02 , 180 , 75
楽天 , 内田　靖人 , 内野手 , 1995/05/30 , 185 , 86
楽天 , 岩見　雅紀 , 外野手 , 1994/07/10 , 187 , 108
楽天 , 引地　秀一郎 , 投手 , 2000/06/03 , 188 , 84
楽天 , 青山　浩二 , 投手 , 1983/08/12 , 180 , 80
楽天 , 宋　家豪 , 投手 , 1992/09/06 , 185 , 92
楽天 , 足立　祐一 , 捕手 , 1989/09/22 , 178 , 83
楽天 , 菅原　秀 , 投手 , 1994/04/05 , 183 , 78
楽天 , 下水流　昂 , 外野手 , 1988/04/23 , 178 , 88
楽天 , 渡邊　佑樹 , 投手 , 1995/11/08 , 183 , 85
楽天 , 渡邊　佳明 , 内野手 , 1997/01/08 , 180 , 79
楽天 , 福森　耀真 , 投手 , 1997/09/27 , 178 , 87
楽天 , 小郷　裕哉 , 外野手 , 1996/08/03 , 178 , 85
楽天 , 津留﨑　大成 , 投手 , 1997/10/10 , 177 , 86
楽天 , 高梨　雄平 , 投手 , 1992/07/13 , 175 , 81
楽天 , 和田　恋 , 外野手 , 1995/09/26 , 180 , 93
楽天 , 鈴木　翔天 , 投手 , 1996/08/19 , 185 , 82
楽天 , 瀧中　瞭太 , 投手 , 1994/12/20 , 180 , 93
楽天 , 辛島　航 , 投手 , 1990/10/18 , 173 , 72
楽天 , 熊原　健人 , 投手 , 1993/10/19 , 178 , 85
楽天 , 石橋　良太 , 投手 , 1991/06/06 , 175 , 77
楽天 , 佐藤　智輝 , 投手 , 2000/06/05 , 183 , 80
楽天 , 西口　直人 , 投手 , 1996/11/14 , 183 , 83
楽天 , 由規 , 投手 , 1989/12/05 , 179 , 80
楽天 , 堀内　謙伍 , 捕手 , 1997/04/15 , 174 , 82
楽天 , 村林　一輝 , 内野手 , 1997/10/06 , 180 , 73
楽天 , 下妻　貴寛 , 捕手 , 1994/04/15 , 186 , 85
楽天 , 寺岡　寛治 , 投手 , 1992/12/03 , 180 , 89
楽天 , ブラッシュ , 外野手 , 1989/07/04 , 196 , 106
楽天 , 石原　彪 , 捕手 , 1999/03/08 , 172 , 96
楽天 , 武藤　敦貴 , 外野手 , 2001/06/15 , 178 , 73
楽天 , 池田　駿 , 投手 , 1992/11/29 , 174 , 78
楽天 , 水上　桂 , 捕手 , 2001/07/05 , 172 , 75
楽天 , 久保　裕也 , 投手 , 1980/05/23 , 177 , 78
楽天 , フェルナンド , 外野手 , 1992/04/13 , 175 , 79
楽天 , ロメロ , 外野手 , 1988/10/17 , 188 , 100
楽天 , 南　要輔 , 内野手 , 1994/08/07 , 175 , 73
楽天 , 池田　隆英 , 投手 , 1994/10/01 , 181 , 85
楽天 , 木村　敏靖 , 投手 , 1995/09/14 , 176 , 78
楽天 , 松本　京志郎 , 内野手 , 1999/09/21 , 172 , 72
楽天 , 中村　和希 , 外野手 , 1995/10/26 , 173 , 75
楽天 , 清宮　虎多朗 , 投手 , 2000/05/26 , 190 , 84
楽天 , 則本　佳樹 , 投手 , 1994/05/14 , 174 , 79
楽天 , 江川　侑斗 , 捕手 , 2001/06/29 , 177 , 81
楽天 , 小峯　新陸 , 投手 , 2001/12/01 , 189 , 90
楽天 , 山﨑　真彰 , 内野手 , 1995/09/26 , 182 , 84
楽天 , 澤野　聖悠 , 内野手 , 2002/03/09 , 184 , 85
楽天 , 耀飛 , 外野手 , 1996/03/05 , 180 , 96
楽天 , 福山　博之 , 投手 , 1989/03/27 , 172 , 70
ロッテ , 選手名 , 守備 , 生年月日 , 身長 , 体重
ロッテ , 鳥谷　敬 , 内野手 , 1981/06/26 , 180 , 79
ロッテ , 荻野　貴司 , 外野手 , 1985/10/21 , 172 , 75
ロッテ , 清田　育宏 , 外野手 , 1986/02/11 , 180 , 85
ロッテ , 藤原　恭大 , 外野手 , 2000/05/06 , 181 , 80
ロッテ , 角中　勝也 , 外野手 , 1987/05/25 , 180 , 85
ロッテ , 藤岡　裕大 , 内野手 , 1993/08/08 , 178 , 77
ロッテ , 安田　尚憲 , 内野手 , 1999/04/15 , 188 , 95
ロッテ , 福田　秀平 , 外野手 , 1989/02/10 , 182 , 77
ロッテ , 中村　奨吾 , 内野手 , 1992/05/28 , 180 , 88
ロッテ , 加藤　翔平 , 外野手 , 1991/03/28 , 183 , 84
ロッテ , 佐々木　千隼 , 投手 , 1994/06/08 , 181 , 83
ロッテ , 石川　歩 , 投手 , 1988/04/11 , 186 , 80
ロッテ , 平沢　大河 , 内野手 , 1997/12/24 , 176 , 80
ロッテ , 大谷　智久 , 投手 , 1985/02/14 , 176 , 82
ロッテ , 美馬　学 , 投手 , 1986/09/19 , 169 , 75
ロッテ , 種市　篤暉 , 投手 , 1998/09/07 , 183 , 88
ロッテ , 佐々木　朗希 , 投手 , 2001/11/03 , 190 , 85
ロッテ , 二木　康太 , 投手 , 1995/08/01 , 190 , 85
ロッテ , 唐川　侑己 , 投手 , 1989/07/05 , 181 , 80
ロッテ , 東條　大樹 , 投手 , 1991/08/15 , 178 , 85
ロッテ , 内　竜也 , 投手 , 1985/07/13 , 182 , 87
ロッテ , 田村　龍弘 , 捕手 , 1994/05/13 , 172 , 81
ロッテ , 三木　亮 , 内野手 , 1991/10/25 , 175 , 78
ロッテ , 東妻　勇輔 , 投手 , 1996/04/04 , 172 , 80
ロッテ , 岡　大海 , 外野手 , 1991/07/15 , 185 , 80
ロッテ , 山本　大貴 , 投手 , 1995/11/10 , 182 , 90
ロッテ , 松永　昂大 , 投手 , 1988/04/16 , 175 , 82
ロッテ , 西野　勇士 , 投手 , 1991/03/06 , 183 , 87
ロッテ , 石崎　剛 , 投手 , 1990/09/09 , 183 , 91
ロッテ , 菅野　剛士 , 外野手 , 1993/05/06 , 171 , 83
ロッテ , 佐藤　都志也 , 捕手 , 1998/01/27 , 181 , 83
ロッテ , 南　昌輝 , 投手 , 1989/01/18 , 182 , 88
ロッテ , 土肥　星也 , 投手 , 1995/07/07 , 186 , 90
ロッテ , 渡邉　啓太 , 投手 , 1993/09/13 , 177 , 80
ロッテ , 有吉　優樹 , 投手 , 1991/03/12 , 178 , 87
ロッテ , 小野　郁 , 投手 , 1996/10/23 , 175 , 78
ロッテ , 髙部　瑛斗 , 外野手 , 1997/12/11 , 178 , 72
ロッテ , 吉田　裕太 , 捕手 , 1991/07/21 , 183 , 99
ロッテ , 福田　光輝 , 内野手 , 1997/11/16 , 176 , 80
ロッテ , 成田　翔 , 投手 , 1998/02/03 , 170 , 78
ロッテ , ハーマン , 投手 , 1984/05/30 , 193 , 100
ロッテ , 小島　和哉 , 投手 , 1996/07/07 , 177 , 85
ロッテ , 井上　晴哉 , 内野手 , 1989/07/03 , 180 , 114
ロッテ , 宗接　唯人 , 捕手 , 1994/07/06 , 183 , 90
ロッテ , 岩下　大輝 , 投手 , 1996/10/02 , 182 , 90
ロッテ , 田中　靖洋 , 投手 , 1987/06/21 , 183 , 88
ロッテ , 中村　稔弥 , 投手 , 1996/07/08 , 178 , 84
ロッテ , チェン・グァンユウ , 投手 , 1990/10/29 , 179 , 75
ロッテ , 松田　進 , 内野手 , 1994/08/29 , 188 , 93
ロッテ , 山口　航輝 , 外野手 , 2000/08/18 , 183 , 97
ロッテ , 益田　直也 , 投手 , 1989/10/25 , 178 , 80
ロッテ , 江村　直也 , 捕手 , 1992/05/06 , 176 , 80
ロッテ , レアード , 内野手 , 1987/09/11 , 185 , 98
ロッテ , 細川　亨 , 捕手 , 1980/01/04 , 183 , 103
ロッテ , 原　嵩 , 投手 , 1997/12/06 , 185 , 85
ロッテ , 香月　一也 , 内野手 , 1996/04/16 , 176 , 83
ロッテ , ジャクソン , 投手 , 1987/10/27 , 185 , 88
ロッテ , 細谷　圭 , 内野手 , 1988/01/17 , 182 , 84
ロッテ , 横山　陸人 , 投手 , 2001/08/05 , 179 , 76
ロッテ , 三家　和真 , 外野手 , 1993/08/13 , 180 , 83
ロッテ , 永野　将司 , 投手 , 1993/03/02 , 181 , 82
ロッテ , 和田　康士朗 , 外野手 , 1999/01/14 , 185 , 77
ロッテ , 古谷　拓郎 , 投手 , 2000/04/21 , 184 , 80
ロッテ , 茶谷　健太 , 内野手 , 1998/01/16 , 186 , 96
ロッテ , 西巻　賢二 , 内野手 , 1999/04/22 , 167 , 70
ロッテ , 土居　豪人 , 投手 , 2000/04/02 , 191 , 92
ロッテ , マーティン , 外野手 , 1988/03/06 , 189 , 91
ロッテ , 柿沼　友哉 , 捕手 , 1993/05/12 , 180 , 82
ロッテ , 本前　郁也 , 投手 , 1997/10/02 , 175 , 76
ロッテ , 鎌田　光津希 , 投手 , 1995/09/06 , 180 , 91
ロッテ , 森　遼大朗 , 投手 , 1999/04/22 , 180 , 80
ロッテ , 植田　将太 , 捕手 , 1997/12/18 , 180 , 83
ロッテ , 大嶺　祐太 , 投手 , 1988/06/16 , 184 , 80
ロッテ , 髙濱　卓也 , 内野手 , 1989/07/06 , 184 , 84
ロッテ , アコスタ , 投手 , 1993/12/23 , 187 , 89
ロッテ , フローレス , 投手 , 1989/06/04 , 191 , 120
ロッテ , サントス , 投手 , 1989/10/22 , 188 , 108
日本ハム , 選手名 , 守備 , 生年月日 , 身長 , 体重
日本ハム , 斎藤　佑樹 , 投手 , 1988/06/06 , 176 , 77
日本ハム , 杉谷　拳士 , 内野手 , 1991/02/04 , 173 , 78
日本ハム , 王　柏融 , 外野手 , 1993/09/09 , 182 , 94
日本ハム , 谷口　雄也 , 外野手 , 1992/06/01 , 182 , 92
日本ハム , 大田　泰示 , 外野手 , 1990/06/09 , 188 , 96
日本ハム , 中田　翔 , 内野手 , 1989/04/22 , 184 , 107
日本ハム , 西川　遥輝 , 外野手 , 1992/04/16 , 181 , 79
日本ハム , 近藤　健介 , 外野手 , 1993/08/09 , 171 , 85
日本ハム , 中島　卓也 , 内野手 , 1991/01/11 , 178 , 75
日本ハム , 清水　優心 , 捕手 , 1996/05/22 , 185 , 87
日本ハム , 松本　剛 , 外野手 , 1993/08/11 , 180 , 82
日本ハム , 生田目　翼 , 投手 , 1995/02/19 , 176 , 89
日本ハム , 加藤　貴之 , 投手 , 1992/06/03 , 182 , 91
日本ハム , 上沢　直之 , 投手 , 1994/02/06 , 187 , 89
日本ハム , 有原　航平 , 投手 , 1992/08/11 , 189 , 95
日本ハム , 浦野　博司 , 投手 , 1989/07/22 , 179 , 70
日本ハム , 吉田　輝星 , 投手 , 2001/01/12 , 175 , 84
日本ハム , 金子　弌大 , 投手 , 1983/11/08 , 180 , 77
日本ハム , 上原　健太 , 投手 , 1994/03/29 , 190 , 83
日本ハム , 清宮　幸太郎 , 内野手 , 1999/05/25 , 184 , 101
日本ハム , 鶴岡　慎也 , 捕手 , 1981/04/11 , 176 , 78
日本ハム , 渡邉　諒 , 内野手 , 1995/04/30 , 178 , 85
日本ハム , 野村　佑希 , 内野手 , 2000/06/26 , 187 , 92
日本ハム , 宮西　尚生 , 投手 , 1985/06/02 , 180 , 81
日本ハム , 淺間　大基 , 外野手 , 1996/06/21 , 183 , 83
日本ハム , マルティネス , 投手 , 1990/08/05 , 185 , 90
日本ハム , 河野　竜生 , 投手 , 1998/05/30 , 174 , 82
日本ハム , 井口　和朋 , 投手 , 1994/01/07 , 175 , 79
日本ハム , 宇佐見　真吾 , 捕手 , 1993/06/04 , 181 , 94
日本ハム , 村田　透 , 投手 , 1985/05/20 , 183 , 84
日本ハム , 谷内　亮太 , 内野手 , 1991/02/03 , 177 , 81
日本ハム , 立野　和明 , 投手 , 1998/04/03 , 181 , 82
日本ハム , 堀　瑞輝 , 投手 , 1998/05/10 , 177 , 80
日本ハム , 西村　天裕 , 投手 , 1993/05/06 , 177 , 90
日本ハム , バーヘイゲン , 投手 , 1990/10/22 , 198 , 104
日本ハム , 柿木　蓮 , 投手 , 2000/06/25 , 181 , 88
日本ハム , 石井　一成 , 内野手 , 1994/05/06 , 182 , 78
日本ハム , 秋吉　亮 , 投手 , 1989/03/21 , 183 , 84
日本ハム , 福田　俊 , 投手 , 1996/12/14 , 171 , 76
日本ハム , ロドリゲス , 投手 , 1991/07/06 , 196 , 108
日本ハム , 黒羽根　利規 , 捕手 , 1987/06/02 , 179 , 92
日本ハム , 白村　明弘 , 外野手 , 1991/12/11 , 187 , 83
日本ハム , ビヤヌエバ , 内野手 , 1991/06/19 , 180 , 95
日本ハム , 平沼　翔太 , 内野手 , 1997/08/16 , 179 , 78
日本ハム , 田中　瑛斗 , 投手 , 1999/07/13 , 184 , 75
日本ハム , 鈴木　健矢 , 投手 , 1997/12/11 , 176 , 82
日本ハム , 上野　響平 , 内野手 , 2001/04/26 , 172 , 68
日本ハム , 公文　克彦 , 投手 , 1992/03/04 , 173 , 84
日本ハム , 鈴木　遼太郎 , 投手 , 1996/02/18 , 184 , 79
日本ハム , 石川　直也 , 投手 , 1996/07/11 , 192 , 95
日本ハム , 宮台　康平 , 投手 , 1995/07/01 , 179 , 81
日本ハム , 玉井　大翔 , 投手 , 1992/06/16 , 178 , 76
日本ハム , 難波　侑平 , 内野手 , 1999/05/06 , 178 , 79
日本ハム , 吉川　光夫 , 投手 , 1988/04/06 , 178 , 79
日本ハム , 杉浦　稔大 , 投手 , 1992/02/25 , 190 , 89
日本ハム , 横尾　俊建 , 内野手 , 1993/05/27 , 175 , 97
日本ハム , 吉田　侑樹 , 投手 , 1994/02/16 , 188 , 87
日本ハム , 郡　拓也 , 捕手 , 1998/04/25 , 178 , 83
日本ハム , 姫野　優也 , 外野手 , 1997/04/02 , 184 , 83
日本ハム , 望月　大希 , 投手 , 1998/02/01 , 187 , 85
日本ハム , 北浦　竜次 , 投手 , 2000/01/12 , 182 , 94
